,영상이름,링크
0,차 샀다!!!!!!!!!!! 생애 첫 차 입니다!!!!!!!!!!!!,https://www.youtube.com/watch?v=On6dEY8D8To&pp=ygUJ7YyM67-M66as
1,24시간동안 나트륨 VS 나트륨!! 포인트 다 쓰면 나트륨 아예 못 먹는 극한 챌린지!!!,https://www.youtube.com/watch?v=sfmnYY5fueA&pp=ygUJ7YyM67-M66as
2,24시간동안 밀 먹기 VS 쌀 먹기!! 누가 더 맛있게 먹을까?!,https://www.youtube.com/watch?v=rVG1CdA2VFQ&pp=ygUJ7YyM67-M66as
3,24시간동안 뺏는 삶 VS 지키는 삶!! 모든 걸 다 뺏기면 어떻게 될까?!,https://www.youtube.com/watch?v=RbF6rCbLnBE&pp=ygUJ7YyM67-M66as
4,24시간동안 블랙 VS 레드!! 빨간맛이 무조건 맛있을까?!,https://www.youtube.com/watch?v=stuqnnXVGWk&pp=ygUJ7YyM67-M66as
5,24시간동안 족발 VS 닭발!! 평생 하나의 발만 먹어야 한다면 뭘 먹을까?!,https://www.youtube.com/watch?v=MXTtlxFxhEo&pp=ygUJ7YyM67-M66as
6,탈출 버튼을 찾아야만 나갈 수 있다!! 잘못 누르면 무서운 벌칙을 받게 된다!!!,https://www.youtube.com/watch?v=LzzAbEOUXpM&pp=ygUJ7YyM67-M66as
7,100kg 친구는 평범한 2명보다 잘 먹을까?! 오모리 점보도시락 대결 누가 이길까?!,https://www.youtube.com/watch?v=-v0bMSRL4fs&pp=ygUJ7YyM67-M66as
8,24시간동안 익숙한 음식 VS 생소한 음식!! 늘 먹던 라면이 가장 맛있을까?!,https://www.youtube.com/watch?v=RsMZvqa8P_w&pp=ygUJ7YyM67-M66as
9,24시간동안 김밥 VS 초밥!! 어떤 밥이 더 맛있을까?!,https://www.youtube.com/watch?v=NmwmnAS_nLQ&pp=ygUJ7YyM67-M66as
10,24시간동안 200% VS 50%!! 두 배면 무조건 행복할까?!,https://www.youtube.com/watch?v=zvqaEfO1-ck&pp=ygUJ7YyM67-M66as
11,24시간동안 물렁 VS 딱딱!! 하루종일 물렁한 것만 먹으면 어떨까?!?!,https://www.youtube.com/watch?v=68hp88g7L8I&pp=ygUJ7YyM67-M66as
12,24시간동안 탕후루 VS 마카롱!! 하루종일 디저트 먹으면 행복할까?! (반전주의ㅋ),https://www.youtube.com/watch?v=5sOnawvMDeU&pp=ygUJ7YyM67-M66as
13,24시간동안 퍽퍽 VS 부드러움!! 퍽퍽한 게 좋은 사람 있나?!?!,https://www.youtube.com/watch?v=l0DdQXaPVNY&pp=ygUJ7YyM67-M66as
14,24시간동안 통으로 먹기 VS 조각 내서 먹기!! 통째로 먹는 게 무조건 맛있을까?!,https://www.youtube.com/watch?v=PIBsD-TL-a8&pp=ygUJ7YyM67-M66as
15,여동생 화이트데이 선물로 속이고 벌레 사탕주기ㅋㅋㅋㅋㅋ(역대급 반응),https://www.youtube.com/watch?v=Juw1uoBkvaE&pp=ygUJ7YyM67-M66as
16,독감 걸린 친구 집에 방역하고 강제로 낫게 만들기!!!!!!!,https://www.youtube.com/watch?v=XWv97bDz3Dw&pp=ygUJ7YyM67-M66as
17,마트에서 조카 원하는 거 다 사준다고 했다가 파산했습니다...,https://www.youtube.com/watch?v=F4UdRIVN4yA&pp=ygUJ7YyM67-M66as
18,24시간동안 안대 VS 마스크!! 못 보는 것과 못 먹는 것 중 더 힘든 것은 무엇일까?!,https://www.youtube.com/watch?v=Esrd7jRl1dY&pp=ygUJ7YyM67-M66as
19,24시간동안 국수 VS 스파게티!! 동양과 서양 중 면을 더 잘 만드는 곳은 어디일까?!,https://www.youtube.com/watch?v=q7nnwiNvRXo&pp=ygUJ7YyM67-M66as
20,처음으로 집을 장만했습니다!!!!,https://www.youtube.com/watch?v=h88-gUlnXc8&pp=ygUJ7YyM67-M66as
21,24시간동안 부모로 살기 VS 아이로 살기!! 아이처럼 살면 행복할까?!?!,https://www.youtube.com/watch?v=QCASDBW3nks&pp=ygUJ7YyM67-M66as
22,24시간동안 비싸게 살기 VS 저렴하게 살기!! 돈 많이 쓰면 행복할까??,https://www.youtube.com/watch?v=6nMNHF0dPHs&pp=ygUJ7YyM67-M66as
23,24시간동안 고기 VS 회!! 연말 회식으로 뭐가 더 좋을까?!?!,https://www.youtube.com/watch?v=B4bKPwPsz7w&pp=ygUJ7YyM67-M66as
24,24시간동안 패스트푸드 VS 보양식!! 햄버거는 정말 건강에 안 좋을까?!,https://www.youtube.com/watch?v=-OoRbv25AeA&pp=ygUJ7YyM67-M66as
25,24시간동안 고통 VS 행복!! 얼마나 고통스러워야 행복해질 수 있을까??,https://www.youtube.com/watch?v=2UnqEg8XN30&pp=ygUJ7YyM67-M66as
26,"24시간동안 더하기 VS 빼기!! 인생은 가지는 게 중요할까, 버리는 게 중요할까?!",https://www.youtube.com/watch?v=gNdDyGJTGMk&pp=ygUJ7YyM67-M66as
